"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 31 11:27:35 IST 2022","Mon Oct 31 11:27:57 IST 2022","21592","","Login to the Application","","Login to the Application","Adding User in Admin Tab ","Adding User in Admin Tab ",""
"passed","Mon Oct 31 12:57:29 IST 2022","Mon Oct 31 12:57:38 IST 2022","9639","","Login to the Application","","Login to the Application","Login with Valid credentials to OrangeHRM","Login with Valid credentials to OrangeHRM",""
